Timestamp,Voltage_mV
2.18,1314.312
2.184,2047.938
2.188,2047.938
2.192,1448.75
2.196,846.312
2.2,1290.062
2.204,2047.938
2.208,2047.938
2.212,1474.438
2.216,848.375
2.22,1262.188
2.224,2047.938
2.228,2047.938
2.232,1514.5
2.236,861.062
2.24,1241.0
2.244,2047.938
2.248,2047.938
2.252,1545.375
2.256,870.312
2.26,1220.75
2.264,2047.938
2.268,2047.938
2.272,1573.688
2.276,869.812
2.28,1184.5
2.284,2047.938
2.288,2047.938
2.292,1594.5
2.296,867.125
2.3,1153.625
2.304,2047.938
2.308,2047.938
2.312,1630.688
2.316,878.562
2.32,1129.125
2.324,2047.938
2.328,2047.938
2.332,1664.938
2.336,893.062
2.34,1112.938
2.344,2047.938
2.348,2047.938
2.352,1693.25
2.356,899.312
2.36,1084.0
2.364,2031.25
2.368,2047.938
2.372,1719.375
2.376,903.562
2.38,1058.188
2.384,2047.938
2.388,2047.938
2.392,1740.688
2.396,1036.0
2.4,1981.625
2.404,2047.938
2.408,1782.0
2.412,929.25
2.416,1017.312
2.42,1954.125
2.424,2047.938
2.428,1810.625
2.432,941.875
2.436,995.688
2.44,1920.125
2.444,2047.938
2.448,1839.562
2.452,958.438
2.456,983.375
2.46,1904.938
2.464,2047.938
2.468,1875.812
2.472,976.688
2.476,965.812
2.48,1872.375
2.484,2047.938
2.488,1901.875
2.492,993.875
2.496,954.0
2.5,1845.125
2.504,2047.938
2.508,1922.375
2.512,1003.25
2.516,931.125
2.52,1808.5
2.524,2047.938
2.528,1953.562
2.532,1021.625
2.536,911.625
2.54,1775.25
2.544,2047.938
2.548,1974.625
2.552,1035.688
2.556,900.0
2.56,1749.125
2.564,2047.938
2.568,2006.688
2.572,1061.438
2.576,891.625
2.58,1717.438
2.584,2047.938
2.588,2028.0
2.592,1079.438
2.596,879.125
2.6,1687.188
2.604,2047.938
2.608,2047.938
2.612,1100.188
2.616,865.5
2.62,1651.062
2.624,2047.938
2.628,2047.938
2.632,1124.875
2.636,864.25
2.64,1634.0
2.644,2047.938
2.648,2047.938
2.652,1148.688
2.656,852.938
2.66,1599.0
2.664,2047.938
2.668,2047.938
2.672,1167.5
2.676,840.125
2.68,1560.125
2.684,2047.938
2.688,2047.938
2.692,1192.75
2.696,838.125
2.7,1527.875
2.704,2047.938
2.708,2047.938
2.712,1209.75
2.716,823.125
2.72,1492.812
2.724,2047.938
2.728,2047.938
2.732,1242.25
2.736,827.062
2.74,1469.5
2.744,2047.938
2.748,2047.938
2.752,1268.875
2.756,826.75
2.76,1440.0
2.764,2047.938
2.768,2047.938
2.772,1295.688
2.776,823.75
2.78,1413.875
2.784,2047.938
2.788,2047.938
2.792,1314.812
2.796,810.188
2.8,1365.625
2.804,2047.938
2.808,2047.938
2.812,1347.062
2.816,820.062
2.82,1347.562
2.824,2047.938
2.828,2047.938
2.832,1369.938
2.836,813.688
2.84,1317.438
2.844,2047.938
2.848,2047.938
2.852,1407.312
2.856,820.062
2.86,1285.438
2.864,2047.938
2.868,2047.938
2.872,1431.625
2.876,819.188
2.88,1252.938
2.884,2047.938
2.888,2047.938
2.892,1466.938
2.896,827.75
2.9,1227.688
2.904,2047.938
2.908,2047.938
2.912,1494.25
2.916,830.875
2.92,1200.188
2.924,2047.938
2.928,2047.938
2.932,1519.75
2.936,829.75
2.94,1165.625
2.944,2047.938
2.948,2047.938
2.952,1551.312
2.956,840.0
2.96,1147.438
2.964,2047.938
2.968,2047.938
2.972,1587.438
2.976,848.688
2.98,1118.438
2.984,2047.938
2.988,2047.938
2.992,1608.75
2.996,1098.25
3.0,2047.938
3.004,1648.812
3.008,863.688
3.012,1070.5
3.016,2025.875
3.02,2047.938
3.024,1682.188
3.028,882.812
3.032,1057.25
3.036,2002.812
3.04,2047.938
3.044,1705.938
3.048,886.5
3.052,1028.75
3.056,1971.625
3.06,2047.938
3.064,1730.125
3.068,896.812
3.072,1010.625
3.076,1953.375
3.08,2047.938
3.084,1771.75
3.088,916.312
3.092,995.125
3.096,1930.062
3.1,2047.938
3.104,1803.562
3.108,929.875
3.112,1898.312
3.116,1898.312
3.12,2047.938
3.124,1837.062
3.128,953.688
3.132,963.562
3.136,1874.5
3.14,2047.938
3.144,1864.062
3.148,959.875
3.152,937.25
3.156,1839.25
3.16,2047.938
3.164,1889.375
3.168,977.25
3.172,922.938
3.176,1811.125
3.18,2047.938
3.184,1919.0
3.188,995.688
3.192,909.5
3.196,1781.375
3.2,2047.938
3.204,1941.0
3.208,1009.312
3.212,892.625
3.216,1751.375
3.22,2047.938
3.224,1970.5
3.228,1029.375
3.232,882.125
3.236,1724.75
3.24,2047.938
3.244,1998.625
3.248,1046.875
3.252,860.438
3.256,1681.75
3.26,2047.938
3.264,2014.5
3.268,1057.875
3.272,846.688
3.276,1655.438
3.28,2047.938
3.284,2046.0
3.288,1087.312
3.292,843.938
3.296,1625.688
3.3,2047.938
3.304,2047.938
3.308,1110.5
3.312,840.375
3.316,1602.062
3.32,2047.938
3.324,2047.938
3.328,1144.312
3.332,838.125
3.336,1570.375
3.34,2047.938
3.344,2047.938
3.348,1164.875
3.352,826.562
3.356,1533.688
3.36,2047.938
3.364,2047.938
3.368,1188.188
3.372,822.25
3.376,1506.25
3.38,2047.938
3.384,2047.938
3.388,1211.625
3.392,818.0
3.396,1477.562
3.4,2047.938
3.404,2047.938
3.408,1238.75
3.412,813.812
3.416,1446.25
3.42,2047.938
3.424,2047.938
3.428,1269.125
3.432,816.188
3.436,1417.75
3.44,2047.938
3.444,2047.938
3.448,1297.688
3.452,815.5
3.456,1392.188
3.46,2047.938
3.464,2047.938
3.468,1323.312
3.472,808.25
3.476,1350.625
3.48,2047.938
3.484,2047.938
3.488,1339.688
3.492,800.5
3.496,1317.562
3.5,2047.938
3.504,2047.938
3.508,1375.125
3.512,809.75
3.516,1297.312
3.52,2047.938
3.524,2047.938
3.528,1410.062
3.532,815.562
3.536,1269.938
3.54,2047.938
3.544,2047.938
3.548,1444.625
3.552,819.25
3.556,1235.438
3.56,2047.938
3.564,2047.938
3.568,1459.688
3.572,818.375
3.576,1213.688
3.58,2047.938
3.584,2047.938
3.588,1493.812
3.592,1181.0
3.596,2047.938
3.6,2047.938
3.604,1524.125
3.608,827.312
3.612,1150.938
3.616,2047.938
3.62,2047.938
3.624,1555.062
3.628,831.562
3.632,1126.375
3.636,2047.938
3.64,2047.938
3.644,1585.812
3.648,841.875
3.652,1104.125
3.656,2047.938
3.66,2047.938
3.664,1617.188
3.668,854.688
3.672,1085.875
3.676,2037.438
3.68,2047.938
3.684,1647.938
3.688,860.562
3.692,1057.438
3.696,2007.812
3.7,2047.938
3.704,1674.812
3.708,867.0
3.712,1031.688
3.716,1980.875
3.72,2047.938
3.724,1706.688
3.728,879.5
3.732,1011.312
3.736,1960.5
3.74,2047.938
3.744,1749.312
3.748,901.375
3.752,996.375
3.756,1933.125
3.76,2047.938
3.764,1775.062
3.768,913.625
3.772,976.5
3.776,1902.875
3.78,2047.938
3.784,1798.375
3.788,919.25
3.792,955.25
3.796,1878.562
3.8,2047.938
3.804,1830.625
3.808,937.938
3.812,937.188
3.816,1849.188
3.82,2047.938
3.824,1867.375
3.828,961.062
3.832,922.5
3.836,1814.25
3.84,2047.938
3.844,1886.75
3.848,969.5
3.852,902.625
3.856,1785.875
3.86,2047.938
3.864,1919.062
3.868,996.438
3.872,902.125
3.876,1768.812
3.88,2047.938
3.884,1951.625
3.888,1014.375
3.892,882.125
3.896,1733.625
3.9,2047.938
3.904,1973.688
3.908,1022.062
3.912,858.25
3.916,1693.062
3.92,2047.938
3.924,2001.5
3.928,1053.5
3.932,860.812
3.936,1672.75
3.94,2047.938
3.944,2026.312
3.948,1073.125
3.952,848.375
3.956,1643.562
3.96,2047.938
3.964,2047.938
3.968,1093.625
3.972,836.188
3.976,1606.375
3.98,2047.938
3.984,2047.938
3.988,1118.5
3.992,832.438
3.996,1579.312
4.0,1134.188
4.004,1134.188
4.008,818.0
4.012,1548.438
4.016,2047.938
4.02,2047.938
4.024,1167.188
4.028,818.625
4.032,1522.188
4.036,2047.938
4.04,2047.938
4.044,1195.75
4.048,810.812
4.052,1482.375
4.056,2047.938
4.06,2047.938
4.064,1212.25
4.068,805.75
4.072,1454.188
4.076,2047.938
4.08,2047.938
4.084,1237.625
4.088,802.812
4.092,1426.562
4.096,2047.938
4.1,2047.938
4.104,1276.188
4.108,1398.562
4.112,2047.938
4.116,2047.938
4.12,2047.938
4.124,1298.5
4.128,801.062
4.132,1358.188
4.136,2047.938
4.14,2047.938
4.144,1323.312
4.148,799.875
4.152,1333.562
4.156,2047.938
4.16,2047.938
4.164,1359.938
4.168,809.75
4.172,1310.312
4.176,2047.938
4.18,2047.938
4.184,1381.625
4.188,1280.688
4.192,2047.938
4.196,2047.938
4.2,1414.125
4.204,805.312
4.208,1244.25
4.212,2047.938
4.216,2047.938
4.22,1439.0
4.224,810.25
4.228,1221.438
4.232,2047.938
4.236,2047.938
4.24,1468.688
4.244,807.25
4.248,1184.5
4.252,2047.938
4.256,2047.938
4.26,1497.438
4.264,812.875
4.268,1162.0
4.272,2047.938
4.276,2047.938
4.28,1538.125
4.284,833.188
4.288,1148.812
4.292,2047.938
4.296,2047.938
4.3,1563.375
4.304,830.5
4.308,1114.188
4.312,2047.938
4.316,2047.938
4.32,1592.25
4.324,839.688
4.328,1089.938
4.332,2043.5
4.336,2047.938
4.34,1625.188
4.344,850.25
4.348,1064.062
4.352,2014.938
4.356,2047.938
4.36,1658.562
4.364,864.375
4.368,1049.188
4.372,1996.875
4.376,2047.938
4.38,1687.875
4.384,871.938
4.388,1021.062
4.392,1967.75
4.396,2047.938
4.4,1717.625
4.404,880.25
4.408,996.188
4.412,1939.188
4.416,2047.938
4.42,1752.938
4.424,902.5
4.428,987.688
4.432,1921.562
4.436,2047.938
4.44,1787.375
4.444,918.75
4.448,967.312
4.452,1887.688
4.456,2047.938
4.46,1800.062
4.464,915.688
4.468,937.938
4.472,1856.875
4.476,2047.938
4.48,1833.312
4.484,938.75
4.488,929.5
4.492,1836.812
4.496,2047.938
4.5,1867.938
4.504,956.312
4.508,910.875
4.512,1801.0
4.516,2047.938
4.52,1884.062
4.524,965.562
4.528,891.375
4.532,1770.625
4.536,2047.938
4.54,1921.312
4.544,992.0
4.548,885.188
4.552,1748.688
4.556,2047.938
4.56,1946.312
4.564,1006.625
4.568,866.125
4.572,1711.062
4.576,2047.938
4.58,1975.875
4.584,1029.5
4.588,856.125
4.592,1682.438
4.596,2047.938
4.6,2000.625
4.604,1051.625
4.608,847.562
4.612,1653.438
4.616,2047.938
4.62,2028.562
4.624,1071.0
4.628,828.812
4.632,1611.438
4.636,2047.938
4.64,2047.938
4.644,1096.625
4.648,1593.688
4.652,1593.688
4.656,2047.938
4.66,2047.938
4.664,1117.0
4.668,821.375
4.672,1564.812
4.676,2047.938
4.68,2047.938
4.684,1141.25
4.688,815.562
4.692,1535.25
4.696,2047.938
4.7,2047.938
4.704,1166.812
4.708,809.812
4.712,1502.438
4.716,2047.938
4.72,2047.938
4.724,1196.75
4.728,811.188
4.732,1475.062
4.736,2047.938
4.74,2047.938
4.744,1213.125
4.748,797.312
4.752,1440.0
4.756,2047.938
4.76,2047.938
4.764,1242.125
4.768,797.125
4.772,1410.938
4.776,2047.938
4.78,2047.938
4.784,1268.5
4.788,1375.062
4.792,2047.938
4.796,2047.938
4.8,1298.688
4.804,797.5
4.808,1356.375
4.812,2047.938
4.816,2047.938
4.82,1333.938
4.824,805.5
4.828,1330.062
4.832,2047.938
4.836,2047.938
4.84,1350.875
4.844,788.188
4.848,1282.25
4.852,2047.938
4.856,2047.938
4.86,1382.938
4.864,794.25
4.868,1258.562
4.872,2047.938
4.876,2047.938
4.88,1412.0
4.884,795.812
4.888,1228.75
4.892,2047.938
4.896,2047.938
4.9,1450.938
4.904,816.75
4.908,1217.875
4.912,2047.938
4.916,2047.938
4.92,1491.875
4.924,826.625
4.928,1194.375
4.932,2047.938
4.936,2047.938
4.94,1518.312
4.944,826.562
4.948,1161.875
4.952,2047.938
4.956,2047.938
4.96,1549.188
4.964,834.812
4.968,1133.562
4.972,2047.938
4.976,2047.938
4.98,1573.188
4.984,835.562
4.988,1103.438
4.992,2047.938
4.996,2047.938
5.0,1630.125
5.004,1630.125
5.008,850.625
5.012,1057.625
5.016,2007.812
5.02,2047.938
5.024,1660.812
5.028,863.5
5.032,1039.188
5.036,1989.5
5.04,2047.938
5.044,1696.312
5.048,874.812
5.052,1013.25
5.056,1957.25
5.06,2047.938
5.064,1725.938
5.068,888.0
5.072,996.75
5.076,1936.562
5.08,2047.938
5.084,1752.938
5.088,893.812
5.092,1912.062
5.096,1912.062
5.1,2047.938
5.104,1791.938
5.108,920.5
5.112,963.688
5.116,1881.938
5.12,2047.938
5.124,1812.438
5.128,927.375
5.132,936.438
5.136,1847.938
5.14,2047.938
5.144,1847.812
5.148,947.25
5.152,925.062
5.156,1824.812
5.16,2047.938
5.164,1872.562
5.168,961.812
5.172,909.375
5.176,1796.0
5.18,2047.938
5.184,1900.938
5.188,981.688
5.192,896.438
5.196,1770.438
5.2,2047.938
5.204,1934.25
5.208,1001.5
5.212,885.375
5.216,1743.062
5.22,2047.938
5.224,1962.562
5.228,1020.625
5.232,870.562
5.236,1710.125
5.24,2047.938
5.244,1988.875
5.248,1039.562
5.252,859.0
5.256,1684.375
5.26,2047.938
5.264,2014.875
5.268,1057.938
5.272,844.438
5.276,1649.5
5.28,2047.938
5.284,2043.25
5.288,1088.125
5.292,843.375
5.296,1621.0
5.3,2047.938
5.304,2047.938
5.308,1105.375
5.312,836.125
5.316,1594.875
5.32,2047.938
5.324,2047.938
5.328,1126.438
5.332,818.688
5.336,1556.938
5.34,2047.938
5.344,2047.938
5.348,1156.938
5.352,819.75
5.356,1528.312
5.36,2047.938
5.364,2047.938
5.368,1174.125
5.372,1490.938
5.376,2047.938
5.38,2047.938
5.384,1189.438
5.388,795.875
5.392,1458.688
5.396,2047.938
5.4,2047.938
5.404,1223.75
5.408,794.125
5.412,1423.562
5.416,2047.938
5.42,2047.938
5.424,1245.812
5.428,790.812
5.432,1396.688
5.436,2047.938
5.44,2047.938
5.444,1281.062
5.448,797.0
5.452,1372.25
5.456,2047.938
5.46,2047.938
5.464,1310.625
5.468,796.188
5.472,1342.5
5.476,2047.938
5.48,2047.938
5.484,1335.25
5.488,795.062
5.492,1309.812
5.496,2047.938
5.5,2047.938
5.504,1363.812
5.508,797.312
5.512,1284.812
5.516,2047.938
5.52,2047.938
5.524,1404.188
5.528,808.812
5.532,1262.312
5.536,2047.938
5.54,2047.938
5.544,1431.688
5.548,809.062
5.552,1231.75
5.556,2047.938
5.56,2047.938
5.564,1472.0
5.568,819.375
5.572,1201.75
5.576,2047.938
5.58,2047.938
5.584,1482.812
5.588,814.438
5.592,1176.812
5.596,2047.938
5.6,2047.938
5.604,1513.062
5.608,817.938
5.612,1144.562
5.616,2047.938
5.62,2047.938
5.624,1542.562
5.628,827.562
5.632,1125.125
5.636,2047.938
5.64,2047.938
5.644,1575.188
5.648,832.25
5.652,1096.625
5.656,2047.938
5.66,2047.938
5.664,1603.5
5.668,838.25
5.672,1069.938
5.676,2023.875
5.68,2047.938
5.684,1636.562
5.688,848.312
5.692,1044.688
5.696,1994.438
5.7,2047.938
5.704,1667.125
5.708,862.75
5.712,1025.312
5.716,1971.625
